timestamp_utc,respondent,respondent_name,company_name,ticker,value_mwh,type_name
2026-06-19T18:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,9015,Demand
2026-06-19T19:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,9550,Demand
2026-06-19T20:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,9980,Demand
2026-06-19T21:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,10291,Demand
2026-06-19T22:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,10348,Demand
2026-06-19T23:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,10268,Demand
2026-06-20T00:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,10004,Demand
2026-06-20T01:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,9431,Demand
2026-06-20T02:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,8810,Demand
2026-06-20T03:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,8150,Demand
2026-06-20T04:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,7356,Demand
2026-06-20T05:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,6673,Demand
2026-06-20T06:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,6123,Demand
2026-06-20T07:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5721,Demand
2026-06-20T08:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5388,Demand
2026-06-20T09:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5212,Demand
2026-06-20T10:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5120,Demand
2026-06-20T11:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5070,Demand
2026-06-20T12:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5323,Demand
2026-06-20T13:00:00,CPLE,Duke Energy Progress East,Duke Energy,DUK,5766,Demand
